denominazione;piva;comune;provincia;regione;data_costituzione;anno_cost;n_cf;anno_ult;fatt_ult;fatt_per_cf;utile_ult;utile_per_cf;margine_pct;cresc_24_pct;cagr_22_24_pct;fatt_2022;fatt_2023;fatt_2024;fatt_2025;utile_2022;utile_2023;utile_2024;utile_2025;dipendenti;ateco;stato;ra_nome;match
MONEYADVISOR SOCIETA’ DI CONSULENZA FINANZIARIA S.R.L. IN FORMA ABBREVIATA MONEYADVISOR SCF S.R.L.;02743800399;RAVENNA;RA;EMILIA ROMAGNA;25/05/2023;2023;4;2024;67580.0;16895;356.0;89;0.5;265.3;;;18500.0;67580.0;;;2343.0;356.0;;-;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Moneyadvisor Societa' Di Consulenza Finanziaria S.R.L.;True
INVESTITORE STRATEGICO SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;02923830349;REGGIO EMILIA;RE;EMILIA ROMAGNA;07/11/2019;2019;2;2024;62948.0;31474;1657.0;828;2.6;-23.8;45.5;29722.0;82604.0;62948.0;;1395.0;5370.0;1657.0;;-;62.01: Produzione di software non connesso all'edizione;Attiva;Investitore Strategico Societa' Di Consulenza Finanziaria S.R.L.;True
FINANZA SEMPLICE SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;13432640962;MILANO;MI;LOMBARDIA;19/02/2024;2024;29;2024;61135.0;2108;-737.0;-25;-1.2;;;;;61135.0;;;;-737.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Finanza Semplice Societa' Di Consulenza Finanziaria S.R.L.;True
STUDIO FESTA & ASSOCIATI S.R.L. SOCIETA’ DI CONSULENZA FINANZIARIA;04177161207;BOLOGNA;BO;EMILIA ROMAGNA;11/01/2024;2024;3;2024;59014.0;19671;4917.0;1639;8.3;;;;;59014.0;;;;4917.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Studio Festa & Associati S.R.L. Societa' Di Consulenza Finanziaria In Forma Abbreviata Sf&A S.R.L. Societa' Di Consulenza Finanziaria;True
PROMETEO SRL - SOCIETÀ DI CONSULENZA FINANZIARIA;05525780283;PADOVA;PD;VENETO;14/02/2023;2023;1;2024;46551.0;46551;10749.0;10749;23.1;347.3;;;10407.0;46551.0;;;-8077.0;10749.0;;-;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Prometeo S.R.L. - Societa' Di Consulenza Finanziaria;True
PROMETEO INVESTING SCF S.R.L;06041760874;CATANIA;CT;SICILIA;02/10/2023;2023;3;2024;26000.0;8667;413.0;138;1.6;;;;;26000.0;;;;413.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Prometeo Investing Scf S.R.L.;True
MOS MAIORUM PATRIMONI SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;15381861002;ROMA;RM;LAZIO;25/07/2019;2019;1;2024;22000.0;22000;555.0;555;2.5;;;;;22000.0;;;;555.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Mos Maiorum Patrimoni Societa' Di Consulenza Finanziaria S.R.L.;True
S&P SCF SRL;17942731005;ROMA;RM;LAZIO;22/01/2025;2025;1;2025;20754.0;20754;-23798.0;-23798;-114.7;;;;;;20754.0;;;;-23798.0;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;S&P Societa' Di Consulenza Finanziaria S.R.L.;True
INVESTPLAN SCF SRL;07076970487;FIRENZE;FI;TOSCANA;15/02/2021;2021;9;2024;20090.0;2232;-2824.0;-314;-14.1;77.3;132.5;3717.0;11333.0;20090.0;;-11819.0;4620.0;-2824.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Investplan Societa' Di Consulenza Finanziaria Societa' A Responsa Bilita' Limitata;True
DLD CAPITAL SCF SRL;16296621002;ROMA;RM;LAZIO;03/08/2021;2021;1;2023;12064.0;12064;-25432.0;-25432;-210.8;;;12757.0;12064.0;;;-12053.0;-25432.0;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Dld Capital Scf S.R.L.;True
QBIT SOCIETÀ DI CONSULENZA FINANZIARIA SRL;16118911003;ROMA;RM;LAZIO;26/03/2021;2021;5;2024;11172.0;2234;-295218.0;-59044;-2642.5;-41.8;;;19188.0;11172.0;;;-263463.0;-295218.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Qbit Societa' Di Consulenza Finanziaria S.R.L.;True
FINANCE REVOLUTION SOCIETÀ DI CONSULENZA FINANZIARIA SRL;02530050448;FERMO;FM;MARCHE;22/11/2023;2023;1;2024;6922.0;6922;-51998.0;-51998;-751.2;;;;;6922.0;;;;-51998.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Finance Revolution Societa' Di Consulenza Finanziaria S.R.L.;True
HORIZON SOCIETÀ DI CONSULENZA FINANZIARIA SRL;04113620365;MODENA;MO;EMILIA ROMAGNA;12/12/2023;2023;2;2024;4000.0;2000;-6550.0;-3275;-163.8;;;;;4000.0;;;;-6550.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Horizon Societa' Di Consulenza Finanziaria Srl;True
CARMA ADVISORY SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;12289321007;ROSETO DEGLI ABRUZZI;TE;ABRUZZO;09/02/2013;2013;1;2024;360.0;360;-70135.0;-70135;-19481.9;-28.3;-43.4;1122.0;502.0;360.0;;24325.0;-36350.0;-70135.0;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Carma Advisory Societa' Di Consulenza Finanziaria S.R.L.;True
OMNEY SCF SRL;04856080165;BERGAMO;BG;LOMBARDIA;21/07/2025;2025;8;;;;;;;;;;;;;;;;;-;-;Attiva;Omney - Societa' Di Consulenza Finanziaria Srl;True
EDVISE SCF SRL;01422160323;TRIESTE;TS;FRIULI VENEZIA GIULIA;19/11/2024;2024;7;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Edvise Scf Srl;True
FOUR PARTNERS ADVISORY SOCIETA' DI CONSULENZA FINANZIARIA SOCIETA' PER AZIONI;06198040963;MILANO;MI;LOMBARDIA;13/05/2008;2008;6;;;;;;;;;;;;;;;;;10-24;74.90.99: Altre attività professionali n.c.a.;Attiva;Four Partners Advisory Societa' Di Consulenza Finanziaria So Cieta' Per Azioni O In Forma Abbreviata Four Partners Advisory Scf S.P.A.;True
PFG SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;07911810963;MILANO;MI;LOMBARDIA;09/07/2012;2012;5;;;;;;;;;;;;;;;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Pfg Societa' Di Consulenza Finanziaria S.R.L. O, In Forma Abbreviata, Pfg S.C.F. S.R.L.;True
FUTURA SOCIETA' DI CONSULENZA FINANZIARIA S.R.L.;03100260342;FELINO;PR;EMILIA ROMAGNA;09/01/2025;2025;4;;;;;;;;;;;;;;;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Futura Societa' Di Consulenza Finanziaria S.R.L.;True
BERT CONSULTING SCF SRL;11306750016;CHIERI;TO;PIEMONTE;06/03/2015;2015;4;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Bert Consulting Societa' Di Consulenza Finanziaria Srl;True
ROIS SCF S.R.L.;17719881009;ROMA;RM;LAZIO;17/07/2024;2024;3;;;;;;;;;;;;;;;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Rois S.C.F. S.R.L.;True
LIGHTHOUSE SCF S.R.L.;03073490355;REGGIO EMILIA;RE;EMILIA ROMAGNA;02/10/2024;2024;2;;;;;;;;;;;;;;;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Lighthouse Scf S.R.L.;True
CRESCITA E TUTELA DEL PATRIMONIO SCF SRL;17735101002;ROMA;RM;LAZIO;31/07/2024;2024;2;;;;;;;;;;;;;;;;;-;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Crescita E Tutela Del Patrimonio Societa' Di Consulenza Finanziaria S.R.L.;True
CONFINI SCF - SOCIETÀ A RESPONSABILITÀ LIMITATA;18406601007;ROMA;RM;LAZIO;29/01/2026;2026;2;;;;;;;;;;;;;;;;;-;-;Attiva;Confini Scf - Societa' A Responsabilita' Limitata;True
ALTAYR SOCIETA' DI CONSULENZA FINANZIARIA SRL BENEFIT;14406860966;MILANO;MI;LOMBARDIA;23/10/2025;2025;2;;;;;;;;;;;;;;;;;-;-;Attiva;Altayr Societa' Di Consulenza Finanziaria Srl Benefit, In Breve Altayr Scf Srl Sb;True
IDA PAGNOTTELLA & PARTNERS S.C.F. S.R.L.;13585060968;MILANO;MI;LOMBARDIA;03/06/2024;2024;2;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ida Pagnottella & Partners S.C.F. S.R.L. O, In Forma Abbreviata Pagnottella & Partners S.C.F. S.R.L.;True
LIBERA SCF S.R.L.;05152250238;BOVOLONE;VR;VENETO;26/09/2025;2025;2;;;;;;;;;;;;;;;;;-;-;Attiva;Libera Scf S.R.L.;True
AMATI SOCIETÀ DI CONSULENZA FINANZIARIA S.R.L.;10778651215;SORRENTO;NA;CAMPANIA;25/03/2025;2025;1;;;;;;;;;;;;;;;;;-;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Amati Societa' Di Consulenza Finanziaria S.R.L.;True
AVERAU CAPITAL PARTNERS SCF SRL SEMPLIFICATA;03138720309;UDINE;UD;FRIULI VENEZIA GIULIA;06/03/2024;2024;1;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Averau Capital Partners Scf Srl Semplificata;True
PATRIMONIO FAMIGLIARE SOCIETA' DI CONSULENZA FINANZIARIA S.R.L.;13580110966;MILANO;MI;LOMBARDIA;20/05/2024;2024;1;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Patrimonio Famigliare Societa' Di Consulenza Finanziaria S.R.L.;True
FINADVISOR SCF SRL;14135170968;MILANO;MI;LOMBARDIA;02/04/2025;2025;1;;;;;;;;;;;;;;;;;-;58.29: Edizione di altri software;Attiva;Finadvisor Scf S.R.L.;True
KLEAR ADVISORY SOCIETA' DI CONSULENZA FINANZIARIA S.R.L.;13971520963;MILANO;MI;LOMBARDIA;22/01/2025;2025;1;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Klear Advisory Societa' Di Consulenza Finanziaria S.R.L. In Breve Klear Advisory Scf S.R.L.;True
IFABRESCIA SOCIETÀ DI CONSULENZA FINANZIARIA SRL;03687460984;GAVARDO;BS;LOMBARDIA;12/01/2015;2015;1;;;;;;;;;;;;;;;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ifabrescia Societa' Di Consulenza Finanziaria S.R.L.;True
FULLCIRCLE SCF SRL;04254940135;COLLE BRIANZA;LC;LOMBARDIA;14/10/2025;2025;1;;;;;;;;;;;;;;;;;-;-;Attiva;Fullcircle Scf S.R.L.;True
VIRGILIO FAMILY OFFICE SOCIETA' DI CONSULENZA FINANZIARIA A RESPONSABILITA' LIMITATA;13252320968;MILANO;MI;LOMBARDIA;27/11/2023;2023;1;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Virgilio Family Office Societa' Di Consulenza Finanziaria A Resp Onsabilita' Limitata Sigla: Virgilio Family Office Scf A R.L.;True
ORSO GIORDI LOCATELLI SCF S.R.L.;13890660965;MILANO;MI;LOMBARDIA;18/12/2024;2024;1;;;;;;;;;;;;;;;;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Orso Giordi Locatelli Scf S.R.L.;True
B&I CONSULTING SOCIETA' DI CONSULENZA FINANZIARIA SRL;03675710127;MALNATE;VA;LOMBARDIA;08/10/2018;2018;1;;;;;;;;;;;;;;;;;-;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;B & I Consulting Societa' Di Consulenza Finanziaria Srl In Forma Abbreviata B & I Scf Srl;True
FG2 CAPITAL SCF S.R.L.;14378010962;MILANO;MI;LOMBARDIA;02/10/2025;2025;1;;;;;;;;;;;;;;;;;-;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Fg2 Capital Societa' Di Consulenza Finanziaria S.R.L.;True
VALAR SCF SRL;14376900966;MILANO;MI;LOMBARDIA;01/10/2025;2025;0;;;;;;;;;;;;;;;;;-;-;Attiva;Valar Societa' Di Consulenza Finanziaria S.R.L. O In Breve Valar Scf S.R.L.;True
